link,image,title,seviye,like,ogrenci
https://www.btkakademi.gov.tr/portal/course/rnn-yinelemeli-sinir-aglari-45724,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/b7509ca3-2e4b-4fd4-aa94-ebcfd3356ee9/466_0x220.jpg?t=1746792908890,RNN Yinelemeli Sinir Ağlarıİleri Seviye19454Yeni,İleri Seviye,19,454
https://www.btkakademi.gov.tr/portal/course/excel-pivot-tablolarla-veri-analizi-45651,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/d86317d0-fe0e-4ace-be60-0c890296199f/475_0x220.jpg?t=1747147888886,Excel Pivot Tablolarla Veri AnaliziOrta Seviye302.2KYeni,Orta Seviye,30,2.2K
https://www.btkakademi.gov.tr/portal/course/buyuk-veriye-giris-44056,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/71e588f8-4166-40b2-be01-400b64b24efb/412_0x220.png?t=1744704816781,Büyük Veriye GirişTemel Seviye432.4KYeni,Temel Seviye,43,2.4K
https://www.btkakademi.gov.tr/portal/course/pytorch-ile-derin-ogrenme-algoritmalari-44053,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/27b7f76b-d1da-472c-bd6a-c5b64ae460fd/339_0x220.jpg?t=1741247142655,PyTorch ile Derin Öğrenme Algoritmalarıİleri Seviye401.5KYeni,İleri Seviye,40,1.5K
https://www.btkakademi.gov.tr/portal/course/react-js-ileri-seviye-44054,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/98b85eea-3a0f-4618-ac44-db3c09155715/362_0x220.jpg?t=1741248308498,React Js İleri Seviyeİleri Seviye341.2KYeni,İleri Seviye,34,1.2K
https://www.btkakademi.gov.tr/portal/course/flutter-ile-mobil-uygulama-gelistirme-44006,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/2ac08940-4997-4a7a-b39d-be755b400f41/365_0x220.png?t=1740988459237,Flutter ile Mobil Uygulama GeliştirmeOrta Seviye633.4KYeni,Orta Seviye,63,3.4K
https://www.btkakademi.gov.tr/portal/course/yazilim-gelistirme-araclari-43724,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/f7a550ab-e4af-4290-ae73-04560bafc531/116_0x220.png?t=1740552142641,Yazılım Geliştirme AraçlarıOrta Seviye473KYeni,Orta Seviye,47,3K
https://www.btkakademi.gov.tr/portal/course/unity-oyun-gelistirme-motoru-43399,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/571764ed-7386-47eb-9139-bb82157512b6/413_0x220.png?t=1738760008782,Unity Oyun Geliştirme MotoruOrta Seviye924.1KYeni,Orta Seviye,92,4.1K
https://www.btkakademi.gov.tr/portal/course/uygulamali-spss-43317,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/da385422-9f5d-4e07-bc9b-ffe0d303b18a/102_0x220.png?t=1737980853717,Uygulamalı SPSSOrta Seviye694KYeni,Orta Seviye,69,4K
https://www.btkakademi.gov.tr/portal/course/jetpack-compose-ile-android-mobil-uygulama-gelistirme-42681,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/f9c046cc-547e-42b7-b362-94cf5dcf3fb1/276.2_0x220.png?t=1737723840689,Jetpack Compose ile Android Mobil Uygulama Geliştirmeİleri Seviye261.3KYeni,İleri Seviye,26,1.3K
https://www.btkakademi.gov.tr/portal/course/react-js-39531,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/13369fcc-6120-4079-9c61-e3f20cc3734a/361.1_0x220.png?t=1742985762666,React JS Orta Seviye803.2KYeni,Orta Seviye,80,3.2K
https://www.btkakademi.gov.tr/portal/course/dogal-dil-isleme-40852,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/c2ffc2dd-6a1e-4000-ac4a-03aef1c406e9/410_0x220.png?t=1734953584252,Doğal Dil İşlemeİleri Seviye1073.5KYeni,İleri Seviye,107,3.5K
